Date,Sport,Google_Trends_Popularity,YouTube_Views_Score,Major_Event
5/1/2018,Football,40,31,0
6/1/2018,Football,90,62,1
7/1/2018,Football,69,46,0
8/1/2018,Football,49,37,0
9/1/2018,Football,45,30,0
10/1/2018,Football,40,26,0
11/1/2018,Football,46,30,0
12/1/2018,Football,49,32,0
1/1/2019,Football,53,33,0
2/1/2019,Football,51,30,0
3/1/2019,Football,56,32,0
4/1/2019,Football,54,31,0
5/1/2019,Football,51,32,0
6/1/2019,Football,61,42,1
7/1/2019,Football,50,33,0
8/1/2019,Football,58,31,0
9/1/2019,Football,56,34,0
10/1/2019,Football,52,32,0
11/1/2019,Football,53,35,0
12/1/2019,Football,53,33,0
1/1/2020,Football,49,29,0
2/1/2020,Football,47,28,0
3/1/2020,Football,29,25,0
4/1/2020,Football,13,17,0
5/1/2020,Football,16,17,0
6/1/2020,Football,29,19,0
7/1/2020,Football,38,22,0
8/1/2020,Football,37,23,0
9/1/2020,Football,46,22,0
10/1/2020,Football,47,24,0
11/1/2020,Football,47,26,0
12/1/2020,Football,46,23,0
1/1/2021,Football,48,22,0
2/1/2021,Football,50,23,0
3/1/2021,Football,50,24,0
4/1/2021,Football,49,24,0
5/1/2021,Football,51,25,0
6/1/2021,Football,79,40,1
7/1/2021,Football,63,35,0
8/1/2021,Football,56,29,0
9/1/2021,Football,61,33,0
10/1/2021,Football,63,32,0
11/1/2021,Football,56,32,0
12/1/2021,Football,51,30,0
1/1/2022,Football,45,28,0
2/1/2022,Football,48,29,0
3/1/2022,Football,49,31,0
4/1/2022,Football,52,30,0
5/1/2022,Football,53,35,0
6/1/2022,Football,43,33,0
7/1/2022,Football,41,31,0
8/1/2022,Football,50,32,0
9/1/2022,Football,53,35,0
10/1/2022,Football,58,38,0
11/1/2022,Football,100,62,1
12/1/2022,Football,94,64,0
1/1/2023,Football,51,38,0
2/1/2023,Football,51,35,0
3/1/2023,Football,52,37,0
4/1/2023,Football,57,36,0
5/1/2023,Football,58,38,0
6/1/2023,Football,48,39,0
7/1/2023,Football,50,36,0
8/1/2023,Football,66,40,0
9/1/2023,Football,64,44,0
10/1/2023,Football,61,43,0
11/1/2023,Football,59,42,0
12/1/2023,Football,52,35,0
1/1/2024,Football,51,43,0
2/1/2024,Football,47,40,0
3/1/2024,Football,50,38,0
4/1/2024,Football,51,42,0
5/1/2024,Football,43,38,0
